observer	siteName	lat	lon	date	time	elevation	area	width	length	slope	aspect	canopyType	canopyDensity	healthyFernCount	sickOrDeadFernCount	dead.Class.1	dead.Class.2	dead.Class.3	dead.Class.4	notes	photos	mortality
1	Ben	Tiger Mountain 1	47.52718	-121.98738	2025-06-23	18:24:33	920	378	18	21	12	289	Mixed	65	18	8	1	1	4	2	Misquote hell, sticky bob and invasive species covers class 4 dead ferns		0.31
2	Ben	Tiger Mountain Site 2	47.5277777777778	-121.991944444444	2025-06-23	18:48:27	740	84	12	7	41	6	Conifers	90	8	5	1	1	1	4	Death class 1 & 2 are 0, some ecological succession, North Slope hypothesis disproven,		0.38
3	Ben	Cougar Mountain site 1	47.5122	-122.08957	2025-06-27	18:11:18	662	81	9	9	37	123	Conifers	95	2	5	1	0	1	3	No misquitos, steep, directly under tree, some crowns look like they are growing on wood, heavy dead brush underneath tree from higher trees		0.71
4	Kaiis	Cougar 2 (large)	47.51198	-122.09023	2025-06-27	18:29:39	697	740	20	37	24	119	Deciduous	87	10	11	0	4	1	5	Lots of other flora, east facing like site 1, mosquitos, largest site so far		0.52
5	Anonymous	Cougar 3	47.51223	-122.09036	2025-06-27	18:44:11	697	266	14	19	19	42	Deciduous	83	9	8	1	4	2	3	Lot of lower growth veg, dense site, right of trail, NE facing, squites		0.47
6	Kaiis	Cougar 4	47.5141666666667	-122.090833333333	2025-06-27	19:07:42	875	544	17	32	27	180	Deciduous	92	12	14	4	4	4	2	Heavy undergrowth, not very dense, S facing, larger site with heavy slope		0.54
7	Ben	Larrabee Site 1 (Stinky)	48.6544	-122.4896	2025-07-07	20:26:04	235	627	19	33	33	271	Deciduous	60	5	37	0	3	10	24	Heavy slope, lots of die off and stinky bob, stinky bob over grew on a lot of the dead sword ferns, west facing slope, no mosquitos, steep and hard to climb	https://pshannon.net/photos/fernSurvey2025/larrabee-1/IMG_6292.jpg | https://pshannon.net/photos/fernSurvey2025/larrabee-1/IMG_6294.jpg	0.88
8	Ben	Larrabee Site 2 (off highway)	48.65159	-122.48971	2025-07-07	21:23:42	167	143	11	13	37	251	Mixed	92	1	7	0	3	1	3	Right off highway, steep, minimal undergrowth	https://pshannon.net/photos/fernSurvey2025/larrabee-2/IMG_6295.jpg | https://pshannon.net/photos/fernSurvey2025/larrabee-2/IMG_6298.jpg	0.88
9	Ben	Larrabee Site 3 (behemoth)	48.653823	-122.489781	2025-07-07	23:48:18	212	2074	34	61	26	263	Mixed	60	23	73	5	11	50	7	High density death, first time seeing this many dead, large over growth around the ferns, found other dead plants around them, steep slope	https://pshannon.net/photos/fernSurvey2025/larrabee-3/IMG_1511.jpg | https://pshannon.net/photos/fernSurvey2025/larrabee-3/IMG_6299.jpg	0.76
10	Ben	George Smallwood Site 1	46.8544	-122.2739	2025-07-08	18:39:06	796	243	9	27	12	336	Deciduous	95	10	6	0	3	1	2	Right off trail, visible from trail, high fern density (but not specifically sword fern), small site, high canopy cover	https://pshannon.net/photos/fernSurvey2025/smallwood-1/IMG_6308.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-1/IMG_6309.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-1/IMG_6310.jpg	0.38
11	Kaiis	George Smallwood 2 (Nextdoor)	46.854219	-122.274223	2025-07-08	18:59:03	819	255	17	15	13	342	Deciduous	95	15	15	3	3	1	8	Heavy canopy, heavy plant density, diverse undergrowth, ferns growing on trees	https://pshannon.net/photos/fernSurvey2025/smallwood-2/IMG_6312.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-2/IMG_6313.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-2/IMG_6314.jpg	0.5
12	Kaiis	Little Mashell Falls 1	46.853507	-122.277761	2025-07-08	19:22:00	774	414	18	23	11	40	Deciduous	77	5	11	2	1	4	4	NE facing, both sides of traill, right off of trail, high amount of traffic (hikers), heaving mixed understory	https://pshannon.net/photos/fernSurvey2025/mashellFalls-1/IMG_6320.jpg | https://pshannon.net/photos/fernSurvey2025/mashellFalls-1/IMG_6321.jpg	0.69
13	Ben	Dash Point Site 1	47.1848	-122.247	2025-07-14	16:23:40	257	156	13	12	8	346	Mixed	35	5	5	0	0	4	1	Heavy density of invasive species, black berries mainly, heavy brush around site, right off of trail, dead log in site, blackberries yummy		0.5
14	Ben	NW Trek Site 1	46.9118222	-122.2749188	2025-07-14	19:45:20	776	2300	25	92	3	101	Mixed	20	19	23	7	4	4	8	Large site, right on trail, lot of children go through this trail, large mix of stage fours and ones, stinging needle, lots of invasive species (stinky bob, neddle, black berry, other ferns, low canopy cover, low slope.		0.55
15	Ben	NW Trek Site 3	46.9125455	-122.2738013	2025-07-14	20:11:27	785	676	26	26	10	133	Mixed	40	15	26	5	1	7	13	Low canopy cover, flat slope, large site, seem to be groupings of dead, right off trail, heavy over growth, less stinging needle,		0.63
