angle	distance	status	sector	lat	lon
63	20.3	alive	east	47.5561076895834	-122.253169232412
35	19.5	alive	east	47.5561402299692	-122.253215184108
96	15.7	alive	east	47.5560564890917	-122.253173380413
6	24	dead	east	47.5561686047459	-122.253276913906
353	21.5	dead	east	47.556161596361	-122.253310520851
91	19.6	dead	east	47.5560633923255	-122.253156948077
93	12.6	dead	east	47.5560611834649	-122.253185423457
80	4.1	dead	east	47.5560736164698	-122.253220812554
338	5.1	dead	east	47.556113549069	-122.253321976155
25	5.9	dead	east	47.5561144436421	-122.253258940888
13	6.3	dead	east	47.5561192252633	-122.253274506629
0	7.8	dead	east	47.5561247638001	-122.253293
83	7.9	dead	east	47.5560723167513	-122.25320497086
34	9.9	dead	east	47.5561193192448	-122.25323887579
45	13.1	dead	east	47.5561175334335	-122.253215395608
2	13.5	dead	east	47.556140344189	-122.253289113273
20	15.2	dead	east	47.5561402229458	-122.253252554824
30	16.3	dead	east	47.5561369374222	-122.253231645729
87	18.3	dead	east	47.5560696342283	-122.25316237132
342	18.8	dead	east	47.5561505188479	-122.253334047668
55	22.4	dead	east	47.5561222366113	-122.253172246995
181	5.4	alive	west	47.5560501983775	-122.253293381663
224	7.5	alive	west	47.5560502096952	-122.253314099103
268	8.2	alive	west	47.5560642154559	-122.253326187977
144	9.7	alive	west	47.5560434864966	-122.253269910113
164	10.7	alive	west	47.5560368027251	-122.253281055907
256	12.2	alive	west	47.5560569087195	-122.253340939716
193	12.3	alive	west	47.5560321442969	-122.253304205325
216	12.8	alive	west	47.5560366110461	-122.253323469126
138	13.2	alive	west	47.5560381076228	-122.253257230228
196	13.5	alive	west	47.5560294239987	-122.253308069648
138	14.2	alive	west	47.5560360703211	-122.253254520398
177	14.8	alive	west	47.5560244820153	-122.253289863155
261	15.2	alive	west	47.5560584813327	-122.253353798804
199	15.6	alive	west	47.5560245632356	-122.253313568269
310	16.1	alive	west	47.5560933710179	-122.253342947258
233	16.6	alive	west	47.5560376124599	-122.253346689338
285	18.4	alive	west	47.5560780555453	-122.253364976924
310	20.5	alive	west	47.5561011245842	-122.253356597449
