East																								
Class	Degree/Bearing	Feet away from center point																						
Alive	63	20.3							63	20.3														
Alive	35	19.5							35	19.5														
Alive	96	15.7							96	15.7														
1	6	24							6	24														
2	353	21.5							-7	21.5														
2	91	19.6							91	19.6														
3	93	12.6							93	12.6														
4	80	4.1							80	4.1														
4	338	5.1							-22	5.1														
4	25	5.9							25	5.9														
4	13	6.3							13	6.3														
4	0	7.8							0	7.8														
4	83	7.9							83	7.9														
4	34	9.9							34	9.9														
4	45	13.1							45	13.1														
4	2	13.5							2	13.5														
4	20	15.2							20	15.2														
4	30	16.3							30	16.3														
4	87	18.3							87	18.3														
4	342	18.8							-18	18.8														
4	55	22.4							55	22.4														
																								
West																								
Class	Degree/Bearing	Feet away from center point																						
Alive	181	5.4																						
Alive	224	7.5																						
Alive	268	8.2																						
Alive	144	9.7																						
Alive	164	10.7																						
Alive	256	12.2																						
Alive	193	12.3																						
Alive	216	12.8																						
Alive	138	13.2																						
Alive	196	13.5																						
Alive	138	14.2																						
Alive	177	14.8																						
Alive	261	15.2																						
Alive	199	15.6																						
Alive	310	16.1																						
Alive	233	16.6																						
Alive	285	18.4																						
Alive	310	20.5
																								
Long/Lat	"47.5561, -122.2533"																							
