#centerpoint:Long/Lat	47.5561,-122.2533
#
angle	distance	status	sector
63	20.3	alive	east
35	19.5	alive	east
96	15.7	alive	east
6	24	dead	east
353	21.5	dead	east
91	19.6	dead	east
93	12.6	dead	east
80	4.1	dead	east
338	5.1	dead	east
25	5.9	dead	east
13	6.3	dead	east
0	7.8	dead	east
83	7.9	dead	east
34	9.9	dead	east
45	13.1	dead	east
2	13.5	dead	east
20	15.2	dead	east
30	16.3	dead	east
87	18.3	dead	east
342	18.8	dead	east
55	22.4	dead	east
181	5.4	alive	west
224	7.5	alive	west
268	8.2	alive	west
144	9.7	alive	west
164	10.7	alive	west
256	12.2	alive	west
193	12.3	alive	west
216	12.8	alive	west
138	13.2	alive	west
196	13.5	alive	west
138	14.2	alive	west
177	14.8	alive	west
261	15.2	alive	west
199	15.6	alive	west
310	16.1	alive	west
233	16.6	alive	west
285	18.4	alive	west
310	20.5	alive	west
